dataset,leave,standardisation,weighting,accuracy,balancedAcc,f1,mcc,meanAUROC,n11,precision,recall,sensitivity,specificity,stddev,,,leave,standardisation,weighting,accuracy,balancedAcc,f1,mcc,meanAUROC,n11,precision,recall,sensitivity,specificity
wall-following,FALSE,TRUE,FALSE,0.718666667,0.880111407,0.870065719,0.820082844,0.909849125,0.795015272,0.827272727,0.900990099,0.900990099,0.986121256,0,,,,,,,,,,,,,,,
wall-following,TRUE,FALSE,FALSE,0.716,0.527151238,0.52198035,0.418061021,0.709673866,2.999191011,1,1,1,1,0,,,,,,,,,,,,,,,
wall-following,FALSE,FALSE,FALSE,0.712,0.61567186,0.342281879,0.268426185,0.616104596,0.959764012,0.411290323,0.293103448,0.293103448,0.938240271,0,,,,,,,,,,,,,,,
waveform-noise,TRUE,FALSE,FALSE,0.639210347,0.921475875,0.886096595,0.777489899,0.888796257,0.751240876,0.879310345,0.857142857,0.857142857,0.909677419,0,,,,,,,,,,,,,,,
waveform-noise,FALSE,FALSE,TRUE,0.625,0.910077519,0.866666667,0.820155039,0.889922481,0.457931034,0.866666667,0.866666667,0.866666667,0.953488372,0,,,,,,,,,,,,,,,
waveform-noise,FALSE,FALSE,TRUE,0.616746086,0.561919505,0.272727273,0.199069041,0.63003096,1.931636364,0.6,0.176470588,0.176470588,0.947368421,0,,,,,,,,,,,,,,,
waveform-noise,FALSE,TRUE,FALSE,0.611300204,0.741171835,0.65161684,0.563530579,0.732924205,1.707855856,0.996268657,0.48413418,0.48413418,0.99820949,0,,,,,,,,,,,,,,,
wine-quality-white,TRUE,FALSE,FALSE,0.625,0.778139193,0.806573919,0.81069773,0.900249603,0.222411693,0.75,0.583333333,0.583333333,0.995549905,0,,,,,,,,,,,,,,,
wine-quality-white,FALSE,FALSE,FALSE,0.612661675,0.282407407,0.269841303,-0.163984012,0.466736642,3.197037037,0.166666667,0.125,0.125,0.722222222,0,,,,,,,,,,,,,,,
wine-quality-white,FALSE,TRUE,FALSE,0.507865169,0.967336392,0.965665901,0.96009212,0.977081555,0.221333333,0.9375,0.9375,0.9375,0.98630137,0,,,,,,,,,,,,,,,
wine-quality-white,FALSE,FALSE,FALSE,0.507865169,0.94522056,0.94479638,0.890347158,0.946611235,0.364900901,0.933810376,0.956043956,0.956043956,0.934397163,0,,,,,,,,,,,,,,,
yeast,FALSE,FALSE,FALSE,0.71875,0.689958592,0.684679015,0.592106814,0.805799408,1.784946237,0.87804878,0.857142857,0.857142857,0.864864865,0,,,,,,,,,,,,,,,
yeast,FALSE,FALSE,TRUE,0.548314607,0.907491289,0.89048474,0.816402562,0.905374564,0.587014493,0.895306859,0.885714286,0.885714286,0.929268293,0,,,,,,,,,,,,,,,
yeast,TRUE,FALSE,FALSE,0.501123596,0.86272697,0.866718571,0.813928451,0.909789339,0.811240073,0.891304348,0.836734694,0.836734694,0.992673993,0,,,,,,,,,,,,,,,
yeast,FALSE,TRUE,FALSE,0.734375,0.573099415,0.411764706,0.156097635,0.612573099,2.414545455,0.466666667,0.368421053,0.368421053,0.777777778,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
